pdb_id,resolution,year,binding_str,pK,has_protein,has_ligand,has_both
2drc,1.9,1994,Kd=0.13nM,9.89,True,True,True
1lst,1.8,1994,Kd=14nM,7.85,True,True,True
1dhj,1.8,1994,Kd=281nM,6.55,True,True,True
1adl,1.6,1994,Kd=4.4uM,5.36,True,True,True
1mfd,2.1,1994,Kd=4.9uM,5.31,True,True,True
2cgr,2.2,1994,Kd=53nM,7.28,True,True,True
1dhi,1.9,1994,Kd=55nM,7.26,True,True,True
1srg,1.8,1994,Kd=5uM,5.3,True,True,True
1erb,1.9,1994,Kd=8nM,8.1,True,True,True
1mfa,1.7,1994,Kd=9.1uM,5.04,True,True,True
1tni,1.9,1994,Ki=0.10mM,7.0,True,True,True
2ctc,1.4,1994,Ki=0.13mM,6.89,True,True,True
1add,2.4,1994,Ki=0.18uM,6.74,True,True,True
1elc,1.75,1994,Ki=0.22uM,6.66,True,True,True
1wht,2.0,1994,Ki=0.2mM,6.7,True,True,True
2sim,1.6,1994,Ki=0.38mM,6.42,True,True,True
1tnh,1.8,1994,Ki=0.43mM,6.37,True,True,True
1ela,2.0,1994,Ki=0.44uM,6.36,True,True,True
1cbx,2.0,1994,Ki=0.45uM,6.35,True,True,True
1ppc,1.8,1994,Ki=0.69uM,6.16,True,True,True
1hps,2.3,1994,Ki=0.6nM,9.22,True,True,True
1azm,2.0,1994,Ki=0.8uM,6.1,True,True,True
1tng,1.8,1994,Ki=1.17mM,5.93,True,True,True
1pph,1.9,1994,Ki=1.2uM,5.92,True,True,True
1fki,2.2,1994,Ki=100nM,7.0,True,True,True
1rpf,2.2,1994,Ki=103uM,3.99,True,True,True
1fkg,2.0,1994,Ki=10nM,8.0,True,True,True
1tkb,2.3,1994,Ki=10nM,8.0,True,True,True
1epo,2.0,1994,Ki=11nM,7.96,True,True,True
1sbg,2.3,1994,Ki=18nM,7.74,True,True,True
1apv,1.8,1994,Ki=1nM,9.0,True,True,True
1ppk,1.8,1994,Ki=22nM,7.66,True,True,True
2cht,2.2,1994,Ki=3uM,5.52,True,True,True
1aaq,2.5,1994,Ki=4.0nM,8.4,True,True,True
1elb,2.1,1994,Ki=70nM,7.15,True,True,True
1fkh,1.95,1994,Ki=7nM,8.15,True,True,True
1siv,2.5,1994,Ki=8.4nM,8.08,True,True,True
1drj,2.5,1995,Kd=0.040uM,7.4,True,True,True
2dri,1.6,1995,Kd=0.13uM,6.89,True,True,True
1drk,2.0,1995,Kd=0.15uM,6.82,True,True,True
1flr,1.85,1995,Kd=0.1nM,10.0,True,True,True
1hmr,1.4,1995,Kd=0.28uM,6.55,True,True,True
1hms,1.4,1995,Kd=0.43uM,6.37,True,True,True
1hmt,1.4,1995,Kd=1.64uM,5.79,True,True,True
1cny,2.3,1995,Kd=14nM,7.85,True,True,True
1laf,2.06,1995,Kd=14nM,7.85,True,True,True
186l,1.8,1995,Kd=14uM,4.85,True,True,True
1cnw,2.0,1995,Kd=19nM,7.72,True,True,True
184l,1.8,1995,Kd=19uM,4.72,True,True,True
1yda,2.1,1995,Kd=280nM,6.55,True,True,True
185l,1.8,1995,Kd=290uM,3.54,True,True,True
1pgp,2.5,1995,Kd=2uM,5.7,True,True,True
1lah,2.06,1995,Kd=30nM,7.52,True,True,True
187l,1.8,1995,Kd=422uM,3.37,True,True,True
1cnx,1.9,1995,Kd=43nM,7.37,True,True,True
188l,1.8,1995,Kd=470uM,3.33,True,True,True
1ydb,1.9,1995,Kd=5.8nM,8.24,True,True,True
1lag,2.06,1995,Kd=500nM,6.3,True,True,True
1ydd,2.1,1995,Kd=86nM,7.07,True,True,True
1cgl,2.4,1995,Ki=0.135uM,6.87,True,True,True
1ele,2.0,1995,Ki=0.14uM,6.85,True,True,True
1fpc,2.3,1995,Ki=0.1uM,7.0,True,True,True
1eld,2.0,1995,Ki=0.20uM,6.7,True,True,True
1lcp,1.65,1995,Ki=0.23uM,6.64,True,True,True
1pdz,2.2,1995,Ki=0.2mM,6.7,True,True,True
1hvr,1.8,1995,Ki=0.31nM,9.51,True,True,True
1atl,1.8,1995,Ki=0.52uM,6.28,True,True,True
1tpw,1.9,1995,Ki=0.5mM,6.3,True,True,True
1hpv,1.9,1995,Ki=0.60nM,9.22,True,True,True
1bty,1.5,1995,Ki=18.4uM,4.74,True,True,True
1fiv,2.0,1995,Ki=260nM,6.59,True,True,True
1bma,1.8,1995,Ki=26uM,4.59,True,True,True
1ctt,2.2,1995,Ki=30uM,4.52,True,True,True
1hbv,2.3,1995,Ki=430nM,6.37,True,True,True
1hii,2.3,1995,Ki=53nM,7.28,True,True,True
1lan,1.9,1995,Ki=60nM,7.22,True,True,True
1ppi,2.2,1995,Ki=9.7uM,5.01,True,True,True
1hih,2.2,1995,Ki=9nM,8.05,True,True,True
1nja,2.5,1996,Kd=0.49uM,6.31,True,True,True
1gaf,1.95,1996,Kd=10nM,8.0,True,True,True
1tsy,2.2,1996,Kd=11.0uM,4.96,True,True,True
1dar,2.4,1996,Kd=11uM,4.96,True,True,True
1lkk,1.0,1996,Kd=140nM,6.85,True,True,True
1lkl,1.8,1996,Kd=1540nM,5.81,True,True,True
1nje,2.3,1996,Kd=160uM,3.8,True,True,True
1str,1.8,1996,Kd=17uM,4.77,True,True,True
1ceb,2.07,1996,Kd=1uM,6.0,True,True,True
1njd,2.2,1996,Kd=2.7uM,5.57,True,True,True
1njc,2.5,1996,Kd=2.8uM,5.55,True,True,True
1mai,1.9,1996,Kd=210nM,6.68,True,True,True
1sld,2.5,1996,Kd=270nM,6.57,True,True,True
2olb,1.4,1996,Kd=2900nM,5.54,True,True,True
1pot,1.8,1996,Kd=3.2uM,5.49,True,True,True
1det,1.8,1996,Kd=50uM,4.3,True,True,True
1kel,1.9,1996,Kd=52nM,7.28,True,True,True
1mmq,1.9,1996,Ki=0.03uM,7.52,True,True,True
1grp,2.5,1996,Ki=0.189mM,6.72,True,True,True
1sln,2.27,1996,Ki=0.23uM,6.64,True,True,True
1hsh,1.9,1996,Ki=0.38nM,9.42,True,True,True
1igb,2.3,1996,Ki=0.4uM,6.4,True,True,True
1jao,2.4,1996,Ki=1.2uM,5.92,True,True,True
1gai,1.7,1996,Ki=10nM,8.0,True,True,True
1tcx,2.3,1996,Ki=112nM,6.95,True,True,True
1dud,2.3,1996,Ki=15uM,4.82,True,True,True
1gno,2.3,1996,Ki=20nM,7.7,True,True,True
1gnn,2.3,1996,Ki=2100nM,5.68,True,True,True
1jaq,2.4,1996,Ki=33uM,4.48,True,True,True
2csn,2.5,1996,Ki=39uM,4.41,True,True,True
1mmr,2.4,1996,Ki=4.0uM,5.4,True,True,True
1mtr,1.75,1996,Ki=4nM,8.4,True,True,True
1gnm,2.3,1996,Ki=560nM,6.25,True,True,True
1rnm,2.0,1996,Ki=844.2uM,3.07,True,True,True
1fkw,2.4,1996,Ki=9uM,5.05,True,True,True
1avn,2.0,1997,Kd=0.125mM,6.9,True,True,True
1drv,2.2,1997,Kd=0.29uM,6.54,True,True,True
1okl,2.1,1997,Kd=0.93uM,6.03,True,True,True
1jev,1.3,1997,Kd=130nM,6.89,True,True,True
1aj7,2.1,1997,Kd=135uM,3.87,True,True,True
1jeu,1.25,1997,Kd=150nM,6.82,True,True,True
1ado,1.9,1997,Kd=1uM,6.0,True,True,True
2h4n,1.9,1997,Kd=2nM,8.7,True,True,True
2mas,2.3,1997,Kd=30nM,7.52,True,True,True
1jet,1.2,1997,Kd=56nM,7.25,True,True,True
2aac,1.6,1997,Kd=6mM,5.22,True,True,True
1uvt,2.5,1997,Ki=0.023uM,7.64,True,True,True
1qbt,2.1,1997,Ki=0.024nM,10.62,True,True,True
1qbr,1.8,1997,Ki=0.027nM,10.57,True,True,True
1ajq,2.05,1997,Ki=0.049mM,7.31,True,True,True
1qbu,1.8,1997,Ki=0.058nM,10.24,True,True,True
1ai7,2.5,1997,Ki=0.082mM,7.09,True,True,True
1hxb,2.3,1997,Ki=0.12nM,9.92,True,True,True
1ai5,2.36,1997,Ki=0.189mM,6.72,True,True,True
1dmp,2.0,1997,Ki=0.28nM,9.55,True,True,True
1qbs,1.8,1997,Ki=0.34nM,9.47,True,True,True
1hpo,2.5,1997,Ki=0.6nM,9.22,True,True,True
1yds,2.2,1997,Ki=1.2uM,5.92,True,True,True
3gss,1.9,1997,Ki=1.5uM,5.82,True,True,True
2gss,1.9,1997,Ki=11.5uM,4.94,True,True,True
1ajx,2.0,1997,Ki=12.2nM,7.91,True,True,True
2rkm,1.8,1997,Ki=125uM,3.9,True,True,True
3aid,2.5,1997,Ki=137nM,6.86,True,True,True
1aid,2.2,1997,Ki=15uM,4.82,True,True,True
1ajv,2.0,1997,Ki=19.1nM,7.72,True,True,True
1ajn,2.36,1997,Ki=2.32mM,5.63,True,True,True
1vfn,2.15,1997,Ki=2.5uM,5.6,True,True,True
1ydr,2.2,1997,Ki=3.0uM,5.52,True,True,True
1ai4,2.35,1997,Ki=3.13mM,5.5,True,True,True
7upj,2.0,1997,Ki=3.2nM,8.49,True,True,True
6upj,2.34,1997,Ki=480nM,6.32,True,True,True
1ydt,2.3,1997,Ki=48nM,7.32,True,True,True
1ajp,2.31,1997,Ki=5.85mM,5.23,True,True,True
1amk,1.83,1997,Ki=50uM,4.3,True,True,True
1tom,1.8,1997,Ki=5nM,8.3,True,True,True
5upj,2.3,1997,Ki=75nM,7.12,True,True,True
2jxr,2.4,1997,Ki=90nM,7.05,True,True,True
1rtf,2.3,1997,Ki=910uM,3.04,True,True,True
1b7h,2.0,1998,Kd=0.0095uM,8.02,True,True,True
1b6h,1.8,1998,Kd=0.015uM,7.82,True,True,True
1a4k,2.4,1998,Kd=0.01uM,8.0,True,True,True
3pcj,2.13,1998,Kd=0.06uM,7.22,True,True,True
1b1h,1.8,1998,Kd=0.093uM,7.03,True,True,True
1b0h,1.9,1998,Kd=0.20uM,6.7,True,True,True
1b38,2.0,1998,Kd=0.254uM,6.6,True,True,True
3pck,2.13,1998,Kd=0.2uM,6.7,True,True,True
1bcu,2.0,1998,Kd=0.53mM,6.28,True,True,True
1wdn,1.94,1998,Kd=0.5uM,6.3,True,True,True
1b3h,2.0,1998,Kd=0.62uM,6.21,True,True,True
1a9q,2.0,1998,Kd=0.68uM,6.17,True,True,True
1ax0,1.9,1998,Kd=0.746mM,6.13,True,True,True
1jmg,2.2,1998,Kd=0.85uM,6.07,True,True,True
1b5h,1.9,1998,Kd=0.97uM,6.01,True,True,True
1yet,1.9,1998,Kd=1.2uM,5.92,True,True,True
1jmf,2.5,1998,Kd=1.7uM,5.77,True,True,True
1b3l,2.0,1998,Kd=1300nM,5.89,True,True,True
1b3f,1.8,1998,Kd=130nM,6.89,True,True,True
1a1e,2.2,1998,Kd=1uM,6.0,True,True,True
2izl,1.48,1998,Kd=1uM,6.0,True,True,True
1b3g,2.0,1998,Kd=200nM,6.7,True,True,True
4tmk,1.98,1998,Kd=20nM,7.7,True,True,True
3pcn,2.4,1998,Kd=220uM,3.66,True,True,True
1amw,1.85,1998,Kd=29uM,4.54,True,True,True
1b2h,1.9,1998,Kd=29uM,4.54,True,True,True
1a99,2.2,1998,Kd=2uM,5.7,True,True,True
1b4h,1.9,1998,Kd=3.44uM,5.46,True,True,True
1bm7,2.0,1998,Kd=30nM,7.52,True,True,True
5tmp,1.98,1998,Kd=34nM,7.47,True,True,True
1bhf,1.8,1998,Kd=42uM,4.38,True,True,True
1swg,1.8,1998,Kd=43.9nM,7.36,True,True,True
4rsk,2.1,1998,Kd=47.4uM,4.32,True,True,True
1b05,2.0,1998,Kd=75nM,7.12,True,True,True
1b32,1.75,1998,Kd=79nM,7.1,True,True,True
1usn,1.8,1998,Ki=0.018uM,7.74,True,True,True
2qwe,2.0,1998,Ki=0.033uM,7.48,True,True,True
1bv7,2.0,1998,Ki=0.05nM,10.3,True,True,True
1xug,1.5,1998,Ki=0.09uM,7.05,True,True,True
1bxo,0.95,1998,Ki=0.10nM,10.0,True,True,True
1bv9,2.0,1998,Ki=0.11nM,9.96,True,True,True
1bhx,2.3,1998,Ki=0.145uM,6.84,True,True,True
2usn,2.2,1998,Ki=0.31uM,6.51,True,True,True
1moq,1.57,1998,Ki=0.35mM,6.46,True,True,True
1alw,2.03,1998,Ki=0.3uM,6.52,True,True,True
1bdq,2.5,1998,Ki=0.46uM,6.34,True,True,True
1met,1.9,1998,Ki=0.4nM,9.4,True,True,True
10gs,2.2,1998,Ki=0.4uM,6.4,True,True,True
1br6,2.3,1998,Ki=0.6mM,6.22,True,True,True
2wed,1.5,1998,Ki=0.8uM,6.1,True,True,True
3pcf,2.15,1998,Ki=0.9uM,6.05,True,True,True
1a4w,1.8,1998,Ki=1.2uM,5.92,True,True,True
3pce,2.06,1998,Ki=10mM,5.0,True,True,True
2wec,1.5,1998,Ki=110uM,3.96,True,True,True
1a9m,2.3,1998,Ki=119nM,6.92,True,True,True
1hvh,1.8,1998,Ki=11nM,7.96,True,True,True
2qwd,2.0,1998,Ki=14uM,4.85,True,True,True
1bju,1.8,1998,Ki=16uM,4.8,True,True,True
2qwb,2.0,1998,Ki=1820uM,2.74,True,True,True
2qwf,1.9,1998,Ki=2.160uM,5.67,True,True,True
1bwa,1.9,1998,Ki=2.5nM,8.6,True,True,True
1bjv,1.8,1998,Ki=2.9uM,5.54,True,True,True
1mes,1.9,1998,Ki=20nM,7.7,True,True,True
1afk,1.7,1998,Ki=240nM,6.62,True,True,True
3jdw,2.4,1998,Ki=253uM,3.6,True,True,True
2qwc,1.6,1998,Ki=280uM,3.55,True,True,True
1hfs,1.7,1998,Ki=2nM,8.7,True,True,True
1ohr,2.1,1998,Ki=2nM,8.7,True,True,True
1bwb,1.8,1998,Ki=3.8nM,8.42,True,True,True
1bxq,1.41,1998,Ki=42nM,7.38,True,True,True
1a28,1.8,1998,Ki=5.1nM,8.29,True,True,True
1a30,2.0,1998,Ki=50uM,4.3,True,True,True
1afl,1.7,1998,Ki=520nM,6.28,True,True,True
3pcg,1.96,1998,Ki=5mM,5.3,True,True,True
1a69,2.1,1998,Ki=5uM,5.3,True,True,True
1bq4,2.5,1998,Ki=6uM,5.22,True,True,True
2web,1.5,1998,Ki=7.6uM,5.12,True,True,True
1stc,2.3,1998,Ki=8nM,8.1,True,True,True
1bnn,2.3,1999,Kd=0.10nM,10.0,True,True,True
1swr,1.9,1999,Kd=0.12uM,6.92,True,True,True
1bn3,2.2,1999,Kd=0.13nM,9.89,True,True,True
1bnt,2.15,1999,Kd=0.16nM,9.8,True,True,True
1bnu,2.15,1999,Kd=0.20nM,9.7,True,True,True
1a4r,2.5,1999,Kd=0.22uM,6.66,True,True,True
1bnq,2.4,1999,Kd=0.32nM,9.49,True,True,True
1rpj,1.8,1999,Kd=0.33uM,6.48,True,True,True
1bn1,2.1,1999,Kd=0.46nM,9.34,True,True,True
1bn4,2.1,1999,Kd=0.49nM,9.31,True,True,True
1d4p,2.07,1999,Kd=0.5uM,6.3,True,True,True
1bnw,2.25,1999,Kd=0.83nM,9.08,True,True,True
2ans,2.5,1999,Kd=1.2uM,5.92,True,True,True
1ork,2.4,1999,Kd=1.56nM,8.81,True,True,True
1bnv,2.4,1999,Kd=1.70nM,8.77,True,True,True
1b9j,1.8,1999,Kd=1100nM,5.96,True,True,True
1qka,1.8,1999,Kd=1200nM,5.92,True,True,True
3tmk,2.0,1999,Kd=135nM,6.87,True,True,True
1d2e,1.94,1999,Kd=1uM,6.0,True,True,True
1bgq,2.5,1999,Kd=2.7nM,8.57,True,True,True
3kiv,1.8,1999,Kd=20uM,4.7,True,True,True
1d7i,1.9,1999,Kd=250uM,3.6,True,True,True
1b58,1.8,1999,Kd=260nM,6.59,True,True,True
2pcp,2.2,1999,Kd=2nM,8.7,True,True,True
1yei,1.9,1999,Kd=35nM,7.46,True,True,True
1yej,1.85,1999,Kd=35nM,7.46,True,True,True
1b5j,1.8,1999,Kd=37nM,7.43,True,True,True
1bzy,2.0,1999,Kd=4.6nM,8.34,True,True,True
1b55,2.4,1999,Kd=40nM,7.4,True,True,True
1b51,1.8,1999,Kd=43nM,7.37,True,True,True
1qkb,1.8,1999,Kd=45nM,7.35,True,True,True
1d7j,1.85,1999,Kd=500uM,3.3,True,True,True
1b46,1.8,1999,Kd=5200nM,5.28,True,True,True
1b40,2.2,1999,Kd=53nM,7.28,True,True,True
1b4z,1.75,1999,Kd=5900nM,5.23,True,True,True
1qk4,1.9,1999,Kd=61uM,4.21,True,True,True
1qk3,1.65,1999,Kd=7.1uM,5.15,True,True,True
1qaw,2.5,1999,Kd=7.5uM,5.12,True,True,True
1b52,2.3,1999,Kd=76nM,7.12,True,True,True
1b5i,1.9,1999,Kd=90nM,7.05,True,True,True
1d4y,1.97,1999,Ki=0.008nM,11.1,True,True,True
2std,2.1,1999,Ki=0.14nM,9.85,True,True,True
456c,2.4,1999,Ki=0.17nM,9.77,True,True,True
1bxr,2.1,1999,Ki=0.4mM,6.4,True,True,True
1pme,2.0,1999,Ki=0.4nM,9.4,True,True,True
5yas,2.2,1999,Ki=0.55mM,6.26,True,True,True
1cet,2.05,1999,Ki=1.3mM,5.89,True,True,True
2bza,1.9,1999,Ki=1.58mM,5.8,True,True,True
1qin,2.0,1999,Ki=10nM,8.0,True,True,True
1qf2,2.06,1999,Ki=1200nM,5.92,True,True,True
1bzc,2.35,1999,Ki=12uM,4.92,True,True,True
1xka,2.3,1999,Ki=131nM,6.88,True,True,True
1a94,2.0,1999,Ki=14nM,7.85,True,True,True
1b8y,2.0,1999,Ki=14nM,7.85,True,True,True
6std,1.8,1999,Ki=2.3nM,8.64,True,True,True
1mfi,1.8,1999,Ki=2.6uM,5.59,True,True,True
1bai,2.4,1999,Ki=20nM,7.7,True,True,True
2bpv,1.9,1999,Ki=21.2nM,7.67,True,True,True
1c3x,2.4,1999,Ki=210uM,3.68,True,True,True
1bzj,2.25,1999,Ki=22uM,4.66,True,True,True
966c,1.9,1999,Ki=23nM,7.64,True,True,True
1upf,2.3,1999,Ki=25uM,4.6,True,True,True
1qhc,1.7,1999,Ki=27nM,7.57,True,True,True
2fmb,1.8,1999,Ki=2nM,8.7,True,True,True
1ciz,1.64,1999,Ki=36nM,7.44,True,True,True
2bpy,1.9,1999,Ki=39.8nM,7.4,True,True,True
1hwr,1.8,1999,Ki=4.70nM,8.33,True,True,True
1qbv,1.8,1999,Ki=4100nM,5.39,True,True,True
1qf0,2.2,1999,Ki=42nM,7.38,True,True,True
1qf1,2.0,1999,Ki=48nM,7.32,True,True,True
1qbq,2.4,1999,Ki=5nM,8.3,True,True,True
1fao,1.8,2000,Kd=0.043uM,7.37,True,True,True
1fl3,2.45,2000,Kd=0.16uM,6.8,True,True,True
1df8,1.51,2000,Kd=0.20nM,9.7,True,True,True
1g52,1.8,2000,Kd=0.29nM,9.54,True,True,True
1dl7,2.35,2000,Kd=0.32uM,6.49,True,True,True
1g1d,2.04,2000,Kd=0.36nM,9.44,True,True,True
1fcz,1.38,2000,Kd=0.6nM,9.22,True,True,True
1d3d,2.04,2000,Kd=0.81nM,9.09,True,True,True
1dzk,1.48,2000,Kd=0.8uM,6.1,True,True,True
1g53,1.94,2000,Kd=0.91nM,9.04,True,True,True
1qkt,2.2,2000,Kd=0.92nM,9.04,True,True,True
1g54,1.86,2000,Kd=1.5nM,8.82,True,True,True
1g46,1.84,2000,Kd=1.6nM,8.8,True,True,True
1qft,1.25,2000,Kd=1.7nM,8.77,True,True,True
1ql7,2.1,2000,Kd=10uM,5.0,True,True,True
1c5c,1.61,2000,Kd=110nM,6.96,True,True,True
1elr,1.9,2000,Kd=11uM,4.96,True,True,True
1g45,1.83,2000,Kd=2.3nM,8.64,True,True,True
1f4x,2.3,2000,Kd=2.6uM,5.59,True,True,True
1fo0,2.5,2000,Kd=2.6uM,5.59,True,True,True
1ftm,1.7,2000,Kd=24.8nM,7.61,True,True,True
1fzq,1.7,2000,Kd=24nM,7.62,True,True,True
1e4h,1.8,2000,Kd=3.9nM,8.41,True,True,True
1g48,1.86,2000,Kd=3.9nM,8.41,True,True,True
1fcy,1.3,2000,Kd=3nM,8.52,True,True,True
1bp0,2.4,2000,Kd=4.0uM,5.4,True,True,True
1d3p,2.1,2000,Kd=41nM,7.39,True,True,True
1g4o,1.96,2000,Kd=5.6nM,8.25,True,True,True
1fcx,1.47,2000,Kd=64nM,7.19,True,True,True
1d6v,2.0,2000,Kd=670nM,6.17,True,True,True
1fch,2.2,2000,Kd=70nM,7.15,True,True,True
1c1u,1.75,2000,Ki=0.0056uM,8.25,True,True,True
1b57,2.0,2000,Ki=0.01uM,8.0,True,True,True
1c1r,1.37,2000,Ki=0.0235uM,7.63,True,True,True
1c1v,1.98,2000,Ki=0.023uM,7.64,True,True,True
1c4u,2.1,2000,Ki=0.043nM,10.37,True,True,True
1c70,2.5,2000,Ki=0.05nM,10.3,True,True,True
1fjs,1.92,2000,Ki=0.11nM,9.96,True,True,True
1fh8,1.95,2000,Ki=0.13uM,6.89,True,True,True
1fhd,1.9,2000,Ki=0.15uM,6.82,True,True,True
1c5x,1.75,2000,Ki=0.21uM,6.68,True,True,True
1f3e,1.85,2000,Ki=0.2uM,6.7,True,True,True
1fh9,1.72,2000,Ki=0.37uM,6.43,True,True,True
1c5q,1.43,2000,Ki=0.44uM,6.36,True,True,True
1e6s,1.35,2000,Ki=0.6mM,6.22,True,True,True
1d4k,1.85,2000,Ki=0.6nM,9.22,True,True,True
1d9i,2.3,2000,Ki=0.78nM,9.11,True,True,True
1ec9,2.0,2000,Ki=0.8mM,6.1,True,True,True
1f74,1.6,2000,Ki=0.9mM,6.05,True,True,True
1ezq,2.2,2000,Ki=0.9nM,9.05,True,True,True
1eoc,2.25,2000,Ki=0.9uM,6.05,True,True,True
1ecq,2.0,2000,Ki=1.0mM,6.0,True,True,True
1c5s,1.36,2000,Ki=1.0uM,6.0,True,True,True
1f4e,1.9,2000,Ki=1.1mM,5.96,True,True,True
1fkn,1.9,2000,Ki=1.6nM,8.8,True,True,True
1d4l,1.75,2000,Ki=1.7nM,8.77,True,True,True
1b6k,1.85,2000,Ki=1.8nM,8.74,True,True,True
1f0t,1.8,2000,Ki=1000nM,6.0,True,True,True
1dqn,1.75,2000,Ki=10nM,8.0,True,True,True
1e2k,1.7,2000,Ki=11.4uM,4.94,True,True,True
1d6w,2.0,2000,Ki=1100nM,5.96,True,True,True
1b6j,1.85,2000,Ki=12nM,7.92,True,True,True
1qbn,1.8,2000,Ki=1400nM,5.85,True,True,True
1c83,1.8,2000,Ki=14uM,4.85,True,True,True
1ecv,1.95,2000,Ki=14uM,4.85,True,True,True
1qji,2.14,2000,Ki=14uM,4.85,True,True,True
1qb1,1.8,2000,Ki=170nM,6.77,True,True,True
1f0s,2.1,2000,Ki=18nM,7.74,True,True,True
1qbo,1.8,2000,Ki=18nM,7.74,True,True,True
1f57,1.75,2000,Ki=2.3uM,5.64,True,True,True
1ejn,1.8,2000,Ki=2.4uM,5.62,True,True,True
1c5n,1.5,2000,Ki=20uM,4.7,True,True,True
1c86,2.3,2000,Ki=20uM,4.7,True,True,True
1c5p,1.43,2000,Ki=21uM,4.68,True,True,True
1f0r,2.1,2000,Ki=22nM,7.66,True,True,True
1f4f,2.0,2000,Ki=24uM,4.62,True,True,True
1d09,2.1,2000,Ki=27nM,7.57,True,True,True
1egh,2.0,2000,Ki=2uM,5.7,True,True,True
1c5o,1.9,2000,Ki=320uM,3.49,True,True,True
1f4g,1.75,2000,Ki=330nM,6.48,True,True,True
1qan,2.4,2000,Ki=33uM,4.48,True,True,True
1qb9,1.8,2000,Ki=36nM,7.44,True,True,True
1fq5,2.4,2000,Ki=4.0nM,8.4,True,True,True
1f73,1.95,2000,Ki=4.1mM,5.39,True,True,True
1ql9,2.3,2000,Ki=4.45uM,5.35,True,True,True
1dy4,1.9,2000,Ki=44uM,4.36,True,True,True
1c88,1.8,2000,Ki=5.1uM,5.29,True,True,True
1fh7,1.82,2000,Ki=5.8uM,5.24,True,True,True
1e2l,2.4,2000,Ki=51.5uM,4.29,True,True,True
1b6l,1.75,2000,Ki=5nM,8.3,True,True,True
1ft7,2.2,2000,Ki=6.6uM,5.18,True,True,True
1c5y,1.65,2000,Ki=63uM,4.2,True,True,True
1c87,2.1,2000,Ki=63uM,4.2,True,True,True
1f0u,1.9,2000,Ki=69nM,7.16,True,True,True
1gfy,2.13,2000,Ki=8.32uM,5.08,True,True,True
1enu,1.95,2000,Ki=8.3uM,5.08,True,True,True
1dgm,1.8,2000,Ki=8.9uM,5.05,True,True,True
1c5t,1.37,2000,Ki=80uM,4.1,True,True,True
1qb6,1.8,2000,Ki=870nM,6.06,True,True,True
8a3h,0.97,2000,Ki=88uM,4.06,True,True,True
1c84,2.35,2000,Ki=9.9uM,5.0,True,True,True
1ie9,1.4,2001,Kd=0.065nM,10.19,True,True,True
1hn4,1.5,2001,Kd=0.15mM,6.82,True,True,True
1ex8,1.85,2001,Kd=0.47uM,6.33,True,True,True
1g7v,2.4,2001,Kd=0.4uM,6.4,True,True,True
1i7z,2.3,2001,Kd=0.4uM,6.4,True,True,True
1e3g,2.4,2001,Kd=0.99nM,9.0,True,True,True
1k1l,2.5,2001,Kd=125nM,6.9,True,True,True
1fzo,1.8,2001,Kd=13nM,7.89,True,True,True
1k1n,2.0,2001,Kd=153nM,6.82,True,True,True
1i9n,1.86,2001,Kd=2.2nM,8.66,True,True,True
1fzm,1.8,2001,Kd=20nM,7.7,True,True,True
1ii5,1.6,2001,Kd=240nM,6.62,True,True,True
1k1i,2.2,2001,Kd=264nM,6.58,True,True,True
1k1j,2.2,2001,Kd=28nM,7.55,True,True,True
