pdb_id,resolution,year,binding_str,pK,has_protein,has_ligand,has_both
1cgl,2.4,1995,Ki=0.135uM,6.87,True,True,True
6bhv,2.3,2018,Kd=5.87uM,5.23,True,True,True
2jgs,1.9,2008,Kd=0.24uM,6.62,True,True,True
5op4,2.0,2017,Ki=0.194uM,6.71,True,True,True
1i9n,1.86,2001,Kd=2.2nM,8.66,True,True,True
3rv4,1.98,2011,Ki=5mM,5.3,True,True,True
3hww,1.95,2009,Kd=75nM,7.12,True,True,True
6i66,1.6,2019,Kd=182.5nM,6.74,True,True,True
4i9h,2.17,2013,Kd=0.068uM,7.17,True,True,True
3e12,1.7,2009,Kd=1.02uM,5.99,True,True,True
2j34,2.01,2006,Ki=15nM,7.82,True,True,True
3ifl,1.5,2009,Kd=8.4nM,8.08,True,True,True
5mgj,2.1,2017,Kd=51uM,4.29,True,True,True
1kjr,1.55,2005,Kd=0.88uM,6.06,True,True,True
1lgw,1.85,2002,Kd=100uM,4.0,True,True,True
4riv,1.63,2015,Ki=100nM,7.0,True,True,True
2gkl,1.86,2007,Ki=4.5uM,5.35,True,True,True
1ppm,1.7,1993,Ki=1600nM,5.8,True,True,True
1amw,1.85,1998,Kd=29uM,4.54,True,True,True
2drc,1.9,1994,Kd=0.13nM,9.89,True,True,True
2q2a,1.79,2008,Kd=0.039uM,7.41,True,True,True
3acw,1.63,2010,Ki=17.5uM,4.76,True,True,True
5edc,1.29,2016,Ki=0.022uM,7.66,True,True,True
2rke,1.8,2008,Ki=82.5uM,4.08,True,True,True
6ugz,1.31,2019,Ki=19.1nM,7.72,True,True,True
5wl0,2.4,2017,Kd=0.67nM,9.17,True,True,True
1fcy,1.3,2000,Kd=3nM,8.52,True,True,True
6ayo,1.67,2018,Ki=5.1nM,8.29,True,True,True
2j95,2.01,2007,Ki=4nM,8.4,True,True,True
3gvb,1.8,2009,Ki=2.6mM,5.59,True,True,True
1bnv,2.4,1999,Kd=1.70nM,8.77,True,True,True
6sge,1.5,2019,Kd=30.8nM,7.51,True,True,True
4z83,1.8,2015,Ki=40nM,7.4,True,True,True
6qls,1.05,2019,Kd=4.5uM,5.35,True,True,True
3qw5,1.6,2012,Ki=358nM,6.45,True,True,True
3hig,2.09,2009,Ki=13nM,7.89,True,True,True
2vt3,2.0,2008,Kd=0.07mM,7.15,True,True,True
6fag,1.79,2018,Ki=255.1nM,6.59,True,True,True
6pg8,1.67,2019,Kd=140uM,3.85,True,True,True
3wz6,1.4,2015,Ki=1.1uM,5.96,True,True,True
4yb5,2.24,2016,Kd=19.3uM,4.71,True,True,True
6p3t,2.5,2019,Ki=0.048uM,7.32,True,True,True
1hi3,1.8,2001,Ki=64uM,4.19,True,True,True
2j75,1.85,2006,Kd=225nM,6.65,True,True,True
4na9,2.24,2014,Ki=41nM,7.39,True,True,True
3lzu,1.76,2010,Kd=0.087nM,10.06,True,True,True
4ty6,1.85,2014,Ki=30nM,7.52,True,True,True
5m9w,1.21,2017,Kd=5.7mM,5.24,True,True,True
1hlk,2.5,2001,Ki=10uM,5.0,True,True,True
1qxl,2.25,2004,Ki=11nM,7.96,True,True,True
3n8k,2.25,2010,Kd=90uM,4.05,True,True,True
3zpu,1.8,2013,Ki=4.2nM,8.38,True,True,True
4do4,1.4,2012,Ki=51nM,7.29,True,True,True
2web,1.5,1998,Ki=7.6uM,5.12,True,True,True
5aml,1.36,2015,Ki=0.7nM,9.15,True,True,True
4hwo,1.91,2013,Ki=2.9nM,8.54,True,True,True
6ftf,1.09,2019,Kd=8nM,8.1,True,True,True
5cxa,1.3,2016,Kd=9nM,8.05,True,True,True
5ulp,1.55,2017,Kd=24.3uM,4.61,True,True,True
2ovv,2.0,2007,Ki=12nM,7.92,True,True,True
5i3y,2.15,2016,Kd=0.4nM,9.4,True,True,True
4jx9,1.4,2013,Kd=2.4nM,8.62,True,True,True
3v51,1.95,2012,Ki=2.8nM,8.55,True,True,True
2x2r,2.2,2011,Ki=76.2nM,7.12,True,True,True
4abg,1.52,2012,Kd=271uM,3.57,True,True,True
2v00,1.55,2007,Kd=0.22mM,6.66,True,True,True
4qpl,1.9,2014,Kd=39nM,7.41,True,True,True
3kgq,1.7,2010,Ki=5mM,5.3,True,True,True
6n3x,1.1,2019,Kd=8.09uM,5.09,True,True,True
2ca8,2.49,2006,Kd=22uM,4.66,True,True,True
1fjs,1.92,2000,Ki=0.11nM,9.96,True,True,True
1jmf,2.5,1998,Kd=1.7uM,5.77,True,True,True
2vwo,1.6,2009,Ki=31nM,7.51,True,True,True
4qer,1.2,2014,Kd=29nM,7.54,True,True,True
4mq6,1.7,2014,Kd=340nM,6.47,True,True,True
2uyn,1.6,2007,Kd=2mM,5.7,True,True,True
2fle,1.9,2007,Ki=14nM,7.85,True,True,True
187l,1.8,1995,Kd=422uM,3.37,True,True,True
3hkn,1.8,2009,Ki=4.51uM,5.35,True,True,True
2e9u,2.0,2008,Ki=7.94nM,8.1,True,True,True
6ppy,2.0,2019,Ki=36uM,4.44,True,True,True
1sbg,2.3,1994,Ki=18nM,7.74,True,True,True
1ogz,2.3,2003,Kd=1.4uM,5.85,True,True,True
4mul,1.75,2014,Kd=610nM,6.21,True,True,True
6r18,1.35,2019,Ki=12uM,4.92,True,True,True
1dmp,2.0,1997,Ki=0.28nM,9.55,True,True,True
5e7n,1.21,2016,Kd=0.81uM,6.09,True,True,True
1jsv,1.96,2001,Ki=2uM,5.7,True,True,True
5kqx,2.4,2016,Ki=3.6nM,8.44,True,True,True
4io7,1.92,2013,Kd=211uM,3.68,True,True,True
6kjd,2.3,2019,Kd=8.9uM,5.05,True,True,True
1l8g,2.5,2002,Ki=0.6uM,6.22,True,True,True
1egh,2.0,2000,Ki=2uM,5.7,True,True,True
4oc0,1.85,2014,Ki=318nM,6.5,True,True,True
5ivv,1.85,2016,Kd=0.45uM,6.35,True,True,True
4ybk,2.5,2016,Kd=15nM,7.82,True,True,True
1r9l,1.59,2004,Kd=4uM,5.4,True,True,True
1r5y,1.2,2004,Ki=0.35uM,6.46,True,True,True
3p58,1.49,2011,Ki=25.4nM,7.6,True,True,True
5m5d,1.07,2017,Kd=111uM,3.95,True,True,True
5ipj,2.1,2016,Kd=1.3nM,8.89,True,True,True
1v7a,2.5,2004,Ki=9.8nM,8.01,True,True,True
2zft,1.76,2009,Kd=300nM,6.52,True,True,True
3d0e,2.0,2008,Ki=4nM,8.4,True,True,True
4j7e,1.63,2013,Kd=14uM,4.85,True,True,True
2pq9,1.6,2008,Ki=7.8nM,8.11,True,True,True
2qpq,1.92,2007,Kd=0.43uM,6.37,True,True,True
4cps,1.55,2014,Ki=5.4nM,8.27,True,True,True
6cdl,1.25,2018,Ki=0.012nM,10.92,True,True,True
6jay,1.5,2019,Ki=1.99uM,5.7,True,True,True
4egk,1.69,2012,Kd=19nM,7.72,True,True,True
4y79,2.1,2015,Ki=11nM,7.96,True,True,True
4ruz,1.63,2015,Ki=23.1nM,7.64,True,True,True
3w5n,1.8,2013,Kd=135uM,3.87,True,True,True
2h3e,2.3,2006,Kd=2uM,5.7,True,True,True
3jdw,2.4,1998,Ki=253uM,3.6,True,True,True
6cbg,2.0,2018,Ki=113uM,3.95,True,True,True
4q08,1.07,2015,Kd=500nM,6.3,True,True,True
4io3,1.66,2013,Kd=0.87uM,6.06,True,True,True
2y5h,1.33,2011,Ki=1620nM,5.79,True,True,True
5t19,2.1,2017,Ki=32uM,4.49,True,True,True
1qb9,1.8,2000,Ki=36nM,7.44,True,True,True
4ara,2.5,2012,Kd=0.9uM,6.05,True,True,True
3dx3,1.42,2009,Ki=300nM,6.52,True,True,True
5lz5,2.05,2016,Kd=0.45uM,6.35,True,True,True
1fkn,1.9,2000,Ki=1.6nM,8.8,True,True,True
3ozr,1.73,2011,Ki=7022nM,5.15,True,True,True
4yk0,1.65,2016,Kd=181uM,3.74,True,True,True
3cl0,2.2,2008,Ki=84.8nM,7.07,True,True,True
2uy4,1.75,2007,Ki=21uM,4.68,True,True,True
1i1e,2.5,2001,Kd=9.4uM,5.03,True,True,True
1b32,1.75,1998,Kd=79nM,7.1,True,True,True
4gki,1.88,2012,Ki=34.4uM,4.46,True,True,True
1uw6,2.2,2004,Kd=45.2nM,7.34,True,True,True
1utj,1.83,2004,Kd=0.144mM,6.84,True,True,True
4o2b,2.3,2014,Ki=1.8uM,5.74,True,True,True
4lm3,1.49,2014,Ki=1200uM,2.92,True,True,True
3t0b,2.4,2012,Ki=0.05mM,7.3,True,True,True
6eq1,2.1,2018,Kd=24.6uM,4.61,True,True,True
4pqa,1.78,2014,Ki=2.8uM,5.55,True,True,True
1bn3,2.2,1999,Kd=0.13nM,9.89,True,True,True
2vvn,1.85,2008,Kd=50nM,7.3,True,True,True
5v0n,2.16,2017,Ki=67.1nM,7.17,True,True,True
2fgu,2.0,2006,Kd=0.66nM,9.18,True,True,True
1kmy,2.0,2002,Kd=8uM,5.1,True,True,True
1p1o,1.6,2003,Kd=1.74uM,5.76,True,True,True
4o61,1.9,2014,Kd=50uM,4.3,True,True,True
4ymq,2.0,2015,Kd=1.6uM,5.8,True,True,True
1eoc,2.25,2000,Ki=0.9uM,6.05,True,True,True
1o2n,1.5,2003,Ki=0.81uM,6.09,True,True,True
5lvq,2.05,2016,Kd=73uM,4.14,True,True,True
5sz1,1.55,2016,Ki=1.2nM,8.92,True,True,True
3ckb,2.3,2008,Kd=1.04mM,5.98,True,True,True
6qgh,2.0,2019,Ki=0.007uM,8.15,True,True,True
4p5z,2.0,2014,Kd=39.3nM,7.41,True,True,True
3nyx,2.5,2010,Ki=32nM,7.49,True,True,True
4nkt,1.9,2013,Kd=1.08uM,5.97,True,True,True
3f5l,1.37,2009,Ki=0.191mM,6.72,True,True,True
5yj8,1.76,2018,Kd=0.104mM,6.98,True,True,True
1x8j,2.35,2005,Ki=0.11uM,6.96,True,True,True
5nn5,2.0,2017,Ki=3.4uM,5.47,True,True,True
6jb0,1.63,2019,Kd=0.058uM,7.24,True,True,True
6f90,2.4,2018,Ki=1.0uM,6.0,True,True,True
4a7i,2.4,2012,Ki=0.002uM,8.7,True,True,True
4non,2.5,2014,Kd=5.71uM,5.24,True,True,True
3pck,2.13,1998,Kd=0.2uM,6.7,True,True,True
4b6r,2.0,2012,Ki=1420nM,5.85,True,True,True
5cau,2.25,2015,Ki=1.6nM,8.8,True,True,True
7upj,2.0,1997,Ki=3.2nM,8.49,True,True,True
6upj,2.34,1997,Ki=480nM,6.32,True,True,True
1ew8,2.2,2002,Ki=5.5mM,5.26,True,True,True
4agp,1.5,2012,Kd=20.6uM,4.69,True,True,True
5yfs,2.3,2018,Kd=13.8uM,4.86,True,True,True
1y3n,1.6,2005,Kd=2.8uM,5.55,True,True,True
3acx,1.31,2010,Ki=2uM,5.7,True,True,True
4baq,1.89,2013,Ki=0.98nM,9.01,True,True,True
2v8w,2.3,2007,Kd=0.15uM,6.82,True,True,True
2za0,1.7,2008,Ki=0.23uM,6.64,True,True,True
1jao,2.4,1996,Ki=1.2uM,5.92,True,True,True
5hwv,1.65,2016,Kd=8.5uM,5.07,True,True,True
5n17,1.6,2017,Kd=4.8uM,5.32,True,True,True
1gjc,1.73,2002,Ki=0.45uM,6.35,True,True,True
6n79,2.27,2019,Ki=0.21nM,9.68,True,True,True
3r7o,2.3,2012,Kd=4.4nM,8.36,True,True,True
1xow,1.8,2004,Kd=0.52nM,9.28,True,True,True
5o1h,1.32,2018,Kd=14uM,4.85,True,True,True
5m17,1.03,2017,Kd=221uM,3.66,True,True,True
4gii,2.31,2013,Ki=1.8nM,8.74,True,True,True
1nl9,2.4,2003,Ki=1.1uM,5.96,True,True,True
3lzs,1.95,2010,Kd=0.0109nM,10.96,True,True,True
3hs4,1.1,2009,Ki=10nM,8.0,True,True,True
2bok,1.64,2005,Ki=0.28uM,6.55,True,True,True
5eek,1.59,2016,Ki=0.8nM,9.1,True,True,True
2f6t,1.7,2005,Ki=24uM,4.62,True,True,True
1laf,2.06,1995,Kd=14nM,7.85,True,True,True
1t4v,2.0,2005,Ki=0.021uM,7.68,True,True,True
5v82,1.89,2017,Ki=0.07nM,10.15,True,True,True
4ij1,1.79,2013,Ki=4uM,5.4,True,True,True
4j93,1.74,2013,Kd=20uM,4.7,True,True,True
2q6f,2.0,2008,Ki=3.6uM,5.44,True,True,True
3sv2,1.3,2012,Ki=64.0uM,4.19,True,True,True
5fyx,1.8,2017,Kd=69.6uM,4.16,True,True,True
5a6x,1.55,2016,Kd=202nM,6.69,True,True,True
2rkm,1.8,1997,Ki=125uM,3.9,True,True,True
5mnn,0.86,2018,Kd=143uM,3.84,True,True,True
5oot,2.1,2017,Ki=0.0285uM,7.55,True,True,True
1erb,1.9,1994,Kd=8nM,8.1,True,True,True
5n9r,2.23,2017,Kd=2.6uM,5.59,True,True,True
4xty,1.8,2015,Kd=0.614nM,9.21,True,True,True
3i4b,2.3,2010,Ki=7nM,8.15,True,True,True
4loh,2.25,2013,Kd=0.11uM,6.96,True,True,True
5fou,1.5,2016,Kd=113uM,3.95,True,True,True
1eby,2.29,2002,Ki=0.20nM,9.7,True,True,True
6h29,1.46,2018,Ki=2.4uM,5.62,True,True,True
3f7h,1.8,2009,Ki=82nM,7.09,True,True,True
1e1v,1.95,2001,Ki=12uM,4.92,True,True,True
5e2r,1.6,2015,Ki=86.2nM,7.06,True,True,True
3myg,2.4,2010,Kd=0.02nM,10.7,True,True,True
5we9,1.8,2017,Ki=0.06uM,7.22,True,True,True
1b52,2.3,1999,Kd=76nM,7.12,True,True,True
5ngz,2.4,2017,Kd=1.3mM,5.89,True,True,True
2w67,2.25,2009,Ki=11uM,4.96,True,True,True
3ipu,2.4,2010,Ki=48nM,7.32,True,True,True
1q8u,1.9,2003,Kd=1.1uM,5.96,True,True,True
5mes,2.24,2017,Kd=0.34uM,6.47,True,True,True
4deu,1.6,2012,Kd=2.29uM,5.64,True,True,True
6glb,2.0,2018,Kd=129nM,6.89,True,True,True
4bqs,2.15,2013,Ki=62uM,4.21,True,True,True
2x4z,2.1,2010,Kd=2.7nM,8.57,True,True,True
6om8,2.45,2019,Ki=6.9uM,5.16,True,True,True
4buq,2.2,2014,Kd=7.3nM,8.14,True,True,True
1bnt,2.15,1999,Kd=0.16nM,9.8,True,True,True
2ri9,1.95,2008,Ki=0.6mM,6.22,True,True,True
3ttm,2.0,2012,Kd=3.0nM,8.52,True,True,True
3f70,2.1,2009,Kd=14uM,4.85,True,True,True
1wn6,1.8,2005,Ki=21uM,4.68,True,True,True
3djq,1.53,2009,Ki=1046.4uM,2.98,True,True,True
1swr,1.9,1999,Kd=0.12uM,6.92,True,True,True
4aia,1.8,2012,Kd=220uM,3.66,True,True,True
1ui0,1.5,2003,Ki=88nM,7.06,True,True,True
4mre,1.58,2014,Kd=6.4mM,5.19,True,True,True
5csp,1.5,2016,Kd=58uM,4.24,True,True,True
4lko,2.43,2013,Ki=6.0nM,8.22,True,True,True
2x91,1.98,2010,Ki=180nM,6.74,True,True,True
5tmn,1.6,1989,Ki=9.1nM,8.04,True,True,True
1ssq,1.85,2004,Ki=1uM,6.0,True,True,True
4wrb,1.81,2015,Ki=0.65uM,6.19,True,True,True
3fvn,1.5,2010,Ki=169nM,6.77,True,True,True
1yqy,2.3,2005,Ki=24nM,7.62,True,True,True
2p3i,1.75,2008,Kd=0.33mM,6.48,True,True,True
2r9x,1.9,2008,Ki=14uM,4.85,True,True,True
1wm1,2.1,2004,Ki=0.5uM,6.3,True,True,True
5czm,1.3,2016,Kd=4.8nM,8.32,True,True,True
4efk,1.7,2013,Kd=3.2mM,5.49,True,True,True
3hkt,2.36,2009,Ki=4.1uM,5.39,True,True,True
5jsg,2.5,2017,Kd=14.2uM,4.85,True,True,True
2wca,2.3,2009,Ki=2.5uM,5.6,True,True,True
1jev,1.3,1997,Kd=130nM,6.89,True,True,True
5nkh,1.29,2017,Kd=26nM,7.59,True,True,True
3s76,1.6,2011,Kd=9000nM,5.05,True,True,True
1b6k,1.85,2000,Ki=1.8nM,8.74,True,True,True
4ruy,1.14,2015,Ki=12.8nM,7.89,True,True,True
1e5j,1.85,2001,Ki=100uM,4.0,True,True,True
2gvv,1.73,2006,Ki=125uM,3.9,True,True,True
5laq,2.4,2018,Ki=0.63nM,9.2,True,True,True
6guc,2.0,2018,Kd=25nM,7.6,True,True,True
3dk1,1.07,2009,Ki=0.18nM,9.74,True,True,True
4c5d,2.3,2014,Kd=4.0uM,5.4,True,True,True
1ex8,1.85,2001,Kd=0.47uM,6.33,True,True,True
4kcx,2.0,2013,Kd=37uM,4.43,True,True,True
1ajx,2.0,1997,Ki=12.2nM,7.91,True,True,True
5orj,1.99,2018,Kd=17uM,4.77,True,True,True
4avh,2.1,2012,Kd=59.5nM,7.23,True,True,True
2pql,2.2,2007,Kd=53nM,7.28,True,True,True
1fch,2.2,2000,Kd=70nM,7.15,True,True,True
4gql,1.15,2013,Ki=0.26nM,9.59,True,True,True
5yyf,1.9,2018,Kd=0.33uM,6.48,True,True,True
1b4z,1.75,1999,Kd=5900nM,5.23,True,True,True
6fz4,1.85,2019,Ki=1.12uM,5.95,True,True,True
3f5j,1.95,2009,Ki=0.052mM,7.28,True,True,True
1b57,2.0,2000,Ki=0.01uM,8.0,True,True,True
1g3e,1.8,2001,Ki=4.2uM,5.38,True,True,True
1j4r,1.8,2001,Ki=0.019uM,7.72,True,True,True
2xn5,1.7,2011,Kd=205nM,6.69,True,True,True
3slz,1.4,2011,Ki=102nM,6.99,True,True,True
5bs4,1.29,2015,Kd=0.0099nM,11.0,True,True,True
5c2a,2.0,2015,Ki=4.8nM,8.32,True,True,True
3mho,1.15,2010,Kd=0.32uM,6.49,True,True,True
4crb,1.85,2015,Ki=0.027uM,7.57,True,True,True
3n7a,2.0,2011,Ki=200uM,3.7,True,True,True
3u5j,1.6,2011,Kd=2.46uM,5.61,True,True,True
3r17,1.7,2011,Ki=390nM,6.41,True,True,True
5efj,1.73,2016,Ki=350nM,6.46,True,True,True
1n4h,2.1,2003,Ki=0.28uM,6.55,True,True,True
1eld,2.0,1995,Ki=0.20uM,6.7,True,True,True
5wuk,2.03,2017,Kd=14nM,7.85,True,True,True
4c9x,1.2,2014,Kd=48nM,7.32,True,True,True
4q09,1.2,2015,Kd=6.7nM,8.17,True,True,True
2x8z,1.98,2010,Ki=11nM,7.96,True,True,True
1xh5,2.05,2005,Kd=3400nM,5.47,True,True,True
3mzc,1.5,2011,Ki=226nM,6.65,True,True,True
1zog,2.3,2005,Ki=70nM,7.15,True,True,True
4kmz,2.3,2013,Kd=2.7nM,8.57,True,True,True
4a6b,1.8,2012,Ki=4.2nM,8.38,True,True,True
5kqy,1.65,2016,Ki=0.51nM,9.29,True,True,True
5kva,1.83,2016,Kd=7.32uM,5.14,True,True,True
3k4d,2.39,2010,Ki=7750nM,5.11,True,True,True
2br1,2.0,2005,Ki=7.2uM,5.14,True,True,True
4hzm,1.45,2013,Ki=23.2uM,4.63,True,True,True
3bwj,2.3,2009,Kd=0.319uM,6.5,True,True,True
3tzm,1.7,2012,Ki=17nM,7.77,True,True,True
1c5o,1.9,2000,Ki=320uM,3.49,True,True,True
3r5t,1.45,2012,Kd=2.65nM,8.58,True,True,True
2rfh,1.7,2008,Ki=0.15uM,6.82,True,True,True
5vsf,1.7,2017,Kd=94nM,7.03,True,True,True
6c9v,1.7,2019,Ki=120.2nM,6.92,True,True,True
4cp7,1.8,2014,Ki=7.8nM,8.11,True,True,True
4x8v,2.5,2015,Ki=130nM,6.89,True,True,True
3gtc,1.9,2009,Ki=4.5mM,5.35,True,True,True
4km0,1.3,2013,Kd=0.91uM,6.04,True,True,True
5upj,2.3,1997,Ki=75nM,7.12,True,True,True
4n6g,2.14,2014,Kd=3.4uM,5.47,True,True,True
5xva,1.85,2018,Ki=0.051uM,7.29,True,True,True
3zhx,2.0,2013,Kd=0.21uM,6.68,True,True,True
5zhl,2.25,2019,Kd=0.19uM,6.72,True,True,True
6ajv,1.45,2019,Kd=9.1uM,5.04,True,True,True
2d1n,2.37,2006,Ki=7nM,8.15,True,True,True
6orr,2.25,2019,Ki=0.5nM,9.3,True,True,True
5l7h,1.84,2016,Ki=50nM,7.3,True,True,True
1k1j,2.2,2001,Kd=28nM,7.55,True,True,True
6mji,2.3,2019,Kd=51.5nM,7.29,True,True,True
5nxp,1.25,2018,Ki=10.2nM,7.99,True,True,True
3iph,2.1,2009,Ki=25.1nM,7.6,True,True,True
4mhy,1.38,2014,Ki=0.342uM,6.47,True,True,True
4iid,2.3,2013,Ki=2.4uM,5.62,True,True,True
5f1h,1.82,2016,Kd=14.1nM,7.85,True,True,True
2erz,2.2,2005,Ki=2.2uM,5.66,True,True,True
4pp3,2.0,2014,Kd=15nM,7.82,True,True,True
5ct2,2.0,2015,Kd=1.2mM,5.92,True,True,True
6jaw,1.98,2019,Ki=2.18uM,5.66,True,True,True
2wyg,1.88,2010,Ki=2nM,8.7,True,True,True
2oym,1.86,2007,Ki=10uM,5.0,True,True,True
6dd0,1.5,2019,Ki=3.3uM,5.48,True,True,True
3exh,2.44,2008,Kd=13.1uM,4.88,True,True,True
2pu2,1.86,2008,Ki=37uM,4.43,True,True,True
2jf4,2.2,2007,Kd=7nM,8.15,True,True,True
3su1,1.4,2012,Ki=208nM,6.68,True,True,True
1o5c,1.63,2004,Ki=6.0uM,5.22,True,True,True
3gy2,1.57,2010,Kd=1.80uM,5.74,True,True,True
